Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Kanematsu H., Kobayashi T., Ogawa N., Fukumura Y., Barry D.M., Nagai H.",7003931461;56086399300;7402629548;7003532206;7202480836;55772533300;,Nuclear Energy Safety Project in Metaverse,2012,"Smart Innovation, Systems and Technologies",14,,,411,418,,9,10.1007/978-3-642-29934-6_39,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879321162&doi=10.1007%2f978-3-642-29934-6_39&partnerID=40&md5=9a3a61d47e5e8e458c72bf745689b44a,"Department of Materials Science and Engineering, Suzuka National College of Technology, Japan; Department of Electronics and Control Engineering, Tsuyama National College of Technology, Japan; Department of Architecture, Gifu National College of Technology, Japan; Department of Management and Information Systems Science, Nagaoka University of Technology, Japan; Center for Advanced Materials Processing (CAMP), Clarkson University, United States; Water Cell Inc., Japan","Kanematsu, H., Department of Materials Science and Engineering, Suzuka National College of Technology, Japan; Kobayashi, T., Department of Electronics and Control Engineering, Tsuyama National College of Technology, Japan; Ogawa, N., Department of Architecture, Gifu National College of Technology, Japan; Fukumura, Y., Department of Management and Information Systems Science, Nagaoka University of Technology, Japan; Barry, D.M., Center for Advanced Materials Processing (CAMP), Clarkson University, United States; Nagai, H., Water Cell Inc., Japan","This project for learning nuclear energy safety was carried out through elearning. Problem Based Learning (PBL) was selected as the educational tool and Metaverse as the class environment. The virtual classroom was built on a virtual island of Second Life owned by Nagaoka University of Technology. Three students from two National Technical Colleges in Japan joined the project. A teacher gave the students a short lecture and proposed the problem. Students understood the contents very well and solved the problem through chat-based discussions in Metaverse. Students' clear and precise understanding, their high activeness of discussion and high interest for the safety of nuclear energy was apparent throughout this successful PBL class project. The results indicate very clearly that this kind of PBL class was obviously possible for actual e-learning in nuclear engineering and engineering education. ? Springer-Verlag Berlin Heidelberg 2012.",,Class projects; Educational tools; Problem based learning; Second Life; Technical college; Virtual Classroom; Computer aided instruction; E-learning; Interactive computer systems; Multimedia systems; Nuclear energy; Students,Article,Final,,Scopus,2-s2.0-84879321162
"Tsukamoto T., Muroya Y., Okamoto M., Nakano Y.",55342464100;55342519500;57199779114;57210545823;,Collection and analysis of multimodal interaction in direction-giving dialogues: Towards an automatic gesture selection mechanism for metaverse avatars,2012,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),7471 LNAI,,,94,105,,,10.1007/978-3-642-32326-3_6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865303476&doi=10.1007%2f978-3-642-32326-3_6&partnerID=40&md5=04da475c71c69983ece250e7c35e8255,"Seikei University, Graduate School of Science and Technology, Tokyo, Japan; Seikei University, Faculty of Science and Technology, Tokyo, Japan","Tsukamoto, T., Seikei University, Graduate School of Science and Technology, Tokyo, Japan; Muroya, Y., Seikei University, Faculty of Science and Technology, Tokyo, Japan; Okamoto, M., Seikei University, Faculty of Science and Technology, Tokyo, Japan; Nakano, Y., Seikei University, Faculty of Science and Technology, Tokyo, Japan","With the aim of building a spatial gesture generation mechanism in Metaverse avatars, we report on an empirical study for multimodal direction-giving dialogues and propose a prototype system for gesture generation. First, we conducted an experiment in which a direction receiver asked for directions to some place on a university campus, and the direction giver gave directions. Then, using a machine learning technique, we annotated the direction giver's right-hand gestures automatically and analyzed the distribution of the direction of the gestures. As a result, we proposed four types of proxemics and found that the distribution of gesture directions differs with the type of proxemics between the conversational participants. Finally, we implement a gesture generation mechanism into a Metaverse application and demonstrate an example. ? 2012 Springer-Verlag.",Direction giving; Empirical study; Gesture; Metaverse; Proxemics,Direction giving; Empirical studies; Gesture; Metaverse; Proxemics; Artificial intelligence; Learning systems,Conference Paper,Final,,Scopus,2-s2.0-84865303476
[No author name available],[No author id available],"Agents for Educational Games and Simulations - International Workshop, AEGS 2011, Revised Papers",2012,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),7471 LNAI,,,,,203,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865278691&partnerID=40&md5=93bcc192ecee019fd5025075ba8d9645,,,The proceedings contain 12 papers. The topics discussed include: interfacing a cognitive agent platform with second life; CIGA: a middleware for intelligent agents in virtual environments; how to compare usability of techniques for the specification of virtual agents' behavior? an experimental pilot study with human subjects; dialog designs in virtual drama: balancing agency and scripted dialogs; learning by playing in agent-oriented virtual learning environment; collection and analysis of multimodal interaction in direction-giving dialogues: towards an automatic gesture selection mechanism for metaverse avatars; organizing scalable adaptation in serious games; inferring pragmatics from dialogue contexts in simulated virtual agent games; socially-aware emergent narrative; increasing learners' motivation through pedagogical agents: the cast of virtual characters in the DynaLearn ILE; and an architecture for affective behavior based on the conservation of resources.,,,Conference Review,Final,,Scopus,2-s2.0-84865278691
"Mal? I., Bittner J., Slav?k P.",23392891800;55405213500;55925350000;,Using annotated task models for accessibility evaluation,2012,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),7382 LNCS,PART 1,,315,322,,2,10.1007/978-3-642-31522-0_47,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864819765&doi=10.1007%2f978-3-642-31522-0_47&partnerID=40&md5=f9b693b7687919459a94d4d312d2f996,"Department of Computer Graphics and Interaction, Faculty of Electrical Engineering, Czech Technical University in Prague, Czech Republic","Mal?, I., Department of Computer Graphics and Interaction, Faculty of Electrical Engineering, Czech Technical University in Prague, Czech Republic; Bittner, J., Department of Computer Graphics and Interaction, Faculty of Electrical Engineering, Czech Technical University in Prague, Czech Republic; Slav?k, P., Department of Computer Graphics and Interaction, Faculty of Electrical Engineering, Czech Technical University in Prague, Czech Republic","Evaluation of application accessibility is a challenging task that requires an intensive testing with potential application users. An alternative to user tests is the model based testing using simulations. The simulations provide important feedback about application accessibility particularly when it is hard to involve the target users in the tests which is often the case for users with disabilities. In this paper we propose a methodology of providing the quickly and easily necessary data for the simulations. In particular we show how to annotate task models using application walkthroughs logs that is data obtained by recording the application usage. We create annotated task models, which together with the user models are suitable for simulation of application usage by virtual users with various disabilities. We present tools for recording and processing of the application walkthrough logs and tools for the interactive task model annotation. Finally, we provide actual examples of task model annotation on three scenarios involving the Second Life metaverse. ? 2012 Springer-Verlag.",Accessibility Evaluation; Task Models; User Centred Design and User Involvement,Accessibility evaluation; Model based testing; Potential applications; Second Life; Task models; User involvement; User models; User tests; Users with disabilities; Virtual users; Walkthroughs; Artificial intelligence; Computer simulation,Conference Paper,Final,,Scopus,2-s2.0-84864819765
"Vernaza A., Armuelles V.I., Ruiz I.",55328727700;12238805200;57201823221;,Towards to an open and interoperable virtual learning enviroment using Metaverse at University of Panama,2012,"Proceedings - 2012 Technologies Applied to Electronics Teaching, TAEE 2012",,,6235458,320,325,,1,10.1109/TAEE.2012.6235458,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864656607&doi=10.1109%2fTAEE.2012.6235458&partnerID=40&md5=2f62cef5c57584e97f05d77547cb8e01,"C.I.T.I.C., Computer Science, Electronical and Communications Faculty, University of Panama, Panama City, Panama","Vernaza, A., C.I.T.I.C., Computer Science, Electronical and Communications Faculty, University of Panama, Panama City, Panama; Armuelles, V.I., C.I.T.I.C., Computer Science, Electronical and Communications Faculty, University of Panama, Panama City, Panama; Ruiz, I., C.I.T.I.C., Computer Science, Electronical and Communications Faculty, University of Panama, Panama City, Panama",The use of the Metaverses as a platform for human interaction is a trend that exists worldwide in the current web environment where participation and collaboration are the basis for generation of collective knowledge. This article is a review of the research that has been developed at the University of Panama for the use of Metaverse (virtual worlds) based on free software as virtual learning environments and their applications in e-Learning retaled to Electronics. ? 2012 IEEE.,Augmented Reality; E-learning; Free and Open Source Software; Hybrids Reality; Metaverse; moodle; Open Simulator; opencv; osgrid; smartphones,Free and open source softwares; Hybrids Reality; Metaverse; moodle; opencv; osgrid; Augmented reality; Smartphones; Virtual reality; E-learning,Conference Paper,Final,,Scopus,2-s2.0-84864656607
"Schaf F.M., Paladini S., Pereira C.E.",34979336100;25641825400;35565573300;,"3D AutoSysLab prototype: A social, immersive and mixed reality approach for collaborative learning environments",2012,"IEEE Global Engineering Education Conference, EDUCON",,,6201192,,,,4,10.1109/EDUCON.2012.6201192,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864148692&doi=10.1109%2fEDUCON.2012.6201192&partnerID=40&md5=9072b2ce87684196719a52a8a2a35ac9,"NTE-Educational Technology Centre, UFSM-Universidade Federal de Santa Maria, Santa Maria, Brazil; Department of Electrical Engineering, UFRGS-Universidade Federal Do Rio Grande Do sul, Porto Alegre, Brazil","Schaf, F.M., NTE-Educational Technology Centre, UFSM-Universidade Federal de Santa Maria, Santa Maria, Brazil; Paladini, S., Department of Electrical Engineering, UFRGS-Universidade Federal Do Rio Grande Do sul, Porto Alegre, Brazil; Pereira, C.E., Department of Electrical Engineering, UFRGS-Universidade Federal Do Rio Grande Do sul, Porto Alegre, Brazil","Recent evolutions of social networks, virtual environments, Web technologies and 3D virtual worlds motivate the adoption of new technologies in education, opening successive innovative possibilities. These technologies (or tools) can be employed in distance education scenarios, or can also enhance traditional learning-teaching (blended or hybrid learning scenario). It is known and a wide advocated issue that laboratory practice is essential to technical education, foremost in engineering. In order to develop a feasible implementation to this research area, a prototype was developed, called 3DAutoSysLab, in which a metaverse is used as social collaborative interface, experiments (real or simulated) are linked to virtual objects, learning objects are displayed as interactive medias, and guiding/feedback are supported via an autonomous tutoring system based on user's interaction data mining. This prototype is under test, but preliminary applied results indicate great acceptance and increase of motivation of students. ? 2012 IEEE.",Blended Learning; CSCL; Immersive Virtual Environments; Mixed Reality; Remote Experiments,Blended learning; CSCL; Immersive virtual environments; Mixed reality; Remote experiments; Acceptance tests; Distance education; Experiments; Innovation; Interactive computer graphics; Social sciences computing; Technical presentations; Three dimensional; Virtual reality; Engineering education,Conference Paper,Final,,Scopus,2-s2.0-84864148692
Cameron A.,12783243400;,Splendid isolation: 'Philosopher's islands' and the reimagination of space,2012,Geoforum,43,4,,741,749,,5,10.1016/j.geoforum.2011.12.008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864026025&doi=10.1016%2fj.geoforum.2011.12.008&partnerID=40&md5=4424115ee5dd5a4c4b05aff1ffb16ccd,"University of Leicester, School of Management, University Road, Leicester LE1 7RH, United Kingdom","Cameron, A., University of Leicester, School of Management, University Road, Leicester LE1 7RH, United Kingdom","This paper argues that the metaphorical figure of the island plays an important but profoundly ambiguous role in the imagination of social space. The paper argues that 'utopic' islands have historically provided a fictional domain of experimentation that has informed the constitution of 'real' state spaces. From the 16th to 20th centuries this took the form of an increasingly consolidated and 'global' endotopia: a world, exemplified by the 'political' map, full of state spaces constituted as interiors. More recently, islands have served a very different metaphoric function, being used to create and legitimise spaces of exteriority - 'xenospaces' such as the online worlds of the 'metaverse' and the arcane legal/financial spaces of offshore - which in combination constitute an emergent xenotopia. The 'philosopher's island' (Mackay, 2010), therefore, represents a complex and polyvalent spatial form that serves to continuously and expediently redefine the nature of social space. ? 2011 Elsevier Ltd.",Boundaries; Islands; Metaverse; Offshore; Social space; Spatiality; Utopia; Xenospace,historical perspective; island; philosophy; spatial cognition,Article,Final,,Scopus,2-s2.0-84864026025
"Orgaz G.B., R-Moreno M.D., Camacho D., Barrero D.F.",55315401400;6504593741;7003774102;36439180800;,Clustering avatars behaviours from Virtual Worlds interactions,2012,ACM International Conference Proceeding Series,,,4,,,,6,10.1145/2189736.2189743,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860743121&doi=10.1145%2f2189736.2189743&partnerID=40&md5=7f9f0b968bf76040b5e0fc0d2c9ac6a7,"Computer Science Department, Universidad Aut?noma de Madrid, Spain; Departamento de Autom?tica, Universidad de Alcal?, Spain","Orgaz, G.B., Computer Science Department, Universidad Aut?noma de Madrid, Spain; R-Moreno, M.D., Departamento de Autom?tica, Universidad de Alcal?, Spain; Camacho, D., Computer Science Department, Universidad Aut?noma de Madrid, Spain; Barrero, D.F., Departamento de Autom?tica, Universidad de Alcal?, Spain","Virtual Worlds (VWs) platforms and applications provide a practical implementation of the Metaverse concept. These applications, as highly inmersive and interactive 3D environments, have become very popular in social networks and games domains. The existence of a set of open platforms like OpenSim or OpenCobalt have played a major role in the popularization of this technology and they open new exciting research areas. One of these areas is behaviour analysis. In virtual world, the user (or avatar) can move and interact within an artificial world with a high degree of freedom. The movements and iterations of the avatar can be monitorized, and hence this information can be analysed to obtain interesting behavioural patterns. Usually, only the information related to the avatars conversations (textual chat logs) are directly available for processing. However, these open platforms allow to capture other kind of information like the exact position of an avatar in the VW, what they are looking at (eye-gazing) or which actions they perform inside these worlds. This paper studies how this information, can be extracted, processed and later used by clustering methods to detect behaviour or group formations in the world. To detect the behavioural patterns of the avatars considered, clustering techniques have been used. These techniques, using the correct data preprocessing and modelling, can be used to automatically detect hidden patterns from data. Copyright ? 2012 ACM.",Graph and overlapping clustering; Hierarchical clustering; Virtual Worlds,3-D environments; Artificial worlds; Behaviour analysis; Chat logs; Clustering methods; Clustering techniques; Data preprocessing; Group formations; Hidden patterns; Hier-archical clustering; High Degree of Freedom; Inmersive; Overlapping clustering; Practical implementation; Social Networks; Virtual worlds; Virtual reality; Interactive computer graphics,Conference Paper,Final,,Scopus,2-s2.0-84860743121
"Yu X., Owens D., Khazanchi D.",56066501300;26423894200;6506490534;,Building socioemotional environments in metaverses for virtual teams in healthcare: A conceptual exploration,2012,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),7231 LNCS,,,4,12,,2,10.1007/978-3-642-29361-0_3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859561460&doi=10.1007%2f978-3-642-29361-0_3&partnerID=40&md5=068164fd0dfd4b2a7d18246dff14d8f3,"College of Information Science and Technology, University of Nebraska, Omaha, NE, United States; Research Center on Fictitious Economy and Data Science, CAS, Beijing 100190, China","Yu, X., College of Information Science and Technology, University of Nebraska, Omaha, NE, United States, Research Center on Fictitious Economy and Data Science, CAS, Beijing 100190, China; Owens, D., College of Information Science and Technology, University of Nebraska, Omaha, NE, United States; Khazanchi, D., College of Information Science and Technology, University of Nebraska, Omaha, NE, United States","Metaverses are 3-dimentional (3D) virtual environments that allow people to interact with each other through software agents without physical limitations. There is great interest in the use of Metaverses for health and medical education. This paper examines the application of metaverses for supporting effective collaboration and knowledge sharing in virtual teams. Virtual teams have been used in health/medical area, such as home healthcare. However, the management of virtual teams is challenging. This study proposes that metaverses have the potential to provide socioemotional environments where individuals socially interact with others. Such socioemotional environments have the potential to facilitate effective collaboration and knowledge sharing in virtual teams. Building on previous research, we developed a conceptual model for understanding how metaverses enable the development of social-emotional environments in virtual teams. ? 2012 Springer-Verlag.",Collaboration; Metaverse; Socioemotional environment; Virtual teams,Collaboration; Conceptual model; Home healthcare; Knowledge-sharing; Metaverse; Physical limitations; Socioemotional environment; Virtual team; Health; Health care; Information science; Knowledge management; Medical education; Software agents; Virtual reality; Management,Conference Paper,Final,,Scopus,2-s2.0-84859561460
Schafer S.B.,56076250200;,"Optimizing cognitive coherence, learning, and psychological healing with drama-based video games",2012,Video Game Play and Consciousness,,,,287,309,,3,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896583830&partnerID=40&md5=383ba26146c1ab0ced095d41ee617cc6,"Digipen Institute of Technology, Redmond, WA, United States","Schafer, S.B., Digipen Institute of Technology, Redmond, WA, United States","A paradigm shift in human reality concepts is underway, and it is not uncommon to hear that the emergent technologically mediated reality is dreamlike. It may be that the key to understanding the paradigm shift in the human perception of ""reality"" is directly related to dream dynamics and structure. Because drama-based video games are structurally analogous to dreams, they may be used as a cognitive research instrument for mapping the psychological dynamics f the paradigm shift. Perhaps the most comprehensive theory of dream dynamics was developed by Carl G. Jung who employed symbolic-metaphorical feedback methodology to evoke meaningful insight in patients. Because he observed that dreams have dramatic structure, Jung referred to dramatic structure as a reference point for analysis that could lead to meaningful insight on the part of a patient. [Jacoby, 1973] Jungian dream analysis based on the narrative-metaphorical structure of dreams has proven to ""heal"" patients suffering from various degrees of mental disorder. Jung's methodology is consistent with recent cognitive research [Lakoff, 2002 and 2008] and methodology for reframing the collective ""political"" mind. [Schafer and Yu, 2011] If Jung's Amplification Method which compensates for cognitive disharmony is essentially the same as biofeedback methods for creating coherent states, applying feedback through media content may foster psychological coherence in the distributive unconscious of collective personae in order to reframe the cognitive unconscious and heal mental disorder in contextual collectives. ? 2012 by Nova Science Publishers, Inc. All rights reserved.",Amplification method; Cognitive dynamics; Cognitive framing; Coherence; Compensation; Contextual; Drama-based video games (DBG); media dream; Metaverse; Psychecology,,Book Chapter,Final,,Scopus,2-s2.0-84896583830
"Nishino K., Mayumi T., Iribe Y., Mizuno S., Ogawa N., Yajima K., Aoki K., Fukumura Y.",35190883700;54387302100;57223385847;7402625897;7402629548;36635097000;35190028800;7003532206;,Consideration on the relationship between changes in learners' learning preferences and the differences in e-learning modes of a course,2012,Frontiers in Artificial Intelligence and Applications,243,,,1121,1130,,,10.3233/978-1-61499-105-2-1121,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879105044&doi=10.3233%2f978-1-61499-105-2-1121&partnerID=40&md5=eee4a6281b5fc275e457471136cc0441,"Kyushu Institute of Technology, Faculty of Computer Science and Systems Engineering, 680-4 Kawazu, Iizuka, Fukuoka, 820-8502, Japan","Nishino, K., Kyushu Institute of Technology, Faculty of Computer Science and Systems Engineering, 680-4 Kawazu, Iizuka, Fukuoka, 820-8502, Japan; Mayumi, T., Kyushu Institute of Technology, Faculty of Computer Science and Systems Engineering, 680-4 Kawazu, Iizuka, Fukuoka, 820-8502, Japan; Iribe, Y., Kyushu Institute of Technology, Faculty of Computer Science and Systems Engineering, 680-4 Kawazu, Iizuka, Fukuoka, 820-8502, Japan; Mizuno, S., Kyushu Institute of Technology, Faculty of Computer Science and Systems Engineering, 680-4 Kawazu, Iizuka, Fukuoka, 820-8502, Japan; Ogawa, N., Kyushu Institute of Technology, Faculty of Computer Science and Systems Engineering, 680-4 Kawazu, Iizuka, Fukuoka, 820-8502, Japan; Yajima, K., Kyushu Institute of Technology, Faculty of Computer Science and Systems Engineering, 680-4 Kawazu, Iizuka, Fukuoka, 820-8502, Japan; Aoki, K., Kyushu Institute of Technology, Faculty of Computer Science and Systems Engineering, 680-4 Kawazu, Iizuka, Fukuoka, 820-8502, Japan; Fukumura, Y., Kyushu Institute of Technology, Faculty of Computer Science and Systems Engineering, 680-4 Kawazu, Iizuka, Fukuoka, 820-8502, Japan","This paper investigates how the three e-learning modes (traditional, room-based synchronous, and metaverse-based) affect the learners' learning preferences before and after completing the study. The authors found out that the students who took the rooom-based synchronous e-learning mode tended to show the low course adaptability overall while their preferences for asynchronous learning and the use of information and communication technologies (ICT) changed negatively after completing the study. In addition, the students' preferences for asynchronous learning as well as the use of ICT turned negative after completing the study in the metaverse-based environment. ? 2012 The authors and IOS Press. All rights reserved.",e-learning; learning adaptability; learning preferences; metaverse; synchronous learning,E-learning; Information use; Knowledge based systems; Asynchronous learning; Information and Communication Technologies; learning adaptability; Learning preferences; metaverse; Synchronous e-learning; Synchronous learning; Learning systems,Article,Final,,Scopus,2-s2.0-84879105044
Vita-More N.,24345817800;,Epoch of plasticity: The metaverse as a vehicle for cognitive enhancement [Nell'epoca della plasticit?: Il metaverso Come veicolo di potenziamento cognitivo],2012,Sistemi Intelligenti,24,1,,167,180,,,10.1422/37370,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872958169&doi=10.1422%2f37370&partnerID=40&md5=22ea42a85755fd695b51a168161fefbc,"4607 Lyra Circle, Austin, TX 78744, United States","Vita-More, N., 4607 Lyra Circle, Austin, TX 78744, United States","This essay discusses simulation as an optimal vehicle for brain plasticity, a primary and distinct area of neuroscience and essential to human enhancement. By speculating on second-order enhancement cybernetics, the essay links the three-dimensional, virtual world of the Metaverse to, and frames the practice of enhancement as taking place in, an epoch of plasticity. An arguable key issue of simulation and enhancement is the tension between desire and feasibility: a desire for greater than human attributes and what is technologically feasible for designing such post-biological attributes.",Enhancement; Metaverse; Plasticity; Second-order cybernetics,,Article,Final,,Scopus,2-s2.0-84872958169
"Stadon J., Grasset R.",35318731100;11240216000;,A syncretic approach to artistic research in mixed reality data transfer,2011,"2011 IEEE International Symposium on Mixed and Augmented Reality - Arts, Media, and Humanities, ISMAR-AMH 2011",,,6093659,67,72,,2,10.1109/ISMAR-AMH.2011.6093659,https://www.scopus.com/inward/record.uri?eid=2-s2.0-83755174264&doi=10.1109%2fISMAR-AMH.2011.6093659&partnerID=40&md5=a7bada76286ef15538e4b911051116d1,"Curtin University of Technology, Australia; Graz University of Technology, Austria","Stadon, J., Curtin University of Technology, Australia; Grasset, R., Graz University of Technology, Austria","This paper offers a contribution to an emerging culturally orientated discourse regarding mixed reality interaction. It seeks to define syncretic, or hybridized agency, particularly in social mixed reality data transfer artworks. Recent developments in bridging relationships with digital representation of identity through mixed reality interfacing, have brought about the need for further analysis of these new post-biological, hybridized states of being that traverse traditional paradigms of biophysics. time and space, and artistic practice. Roy Ascott's interpretation of syncretism within digital networks may facilitate further understanding of multi-layered consciousness, both material and metaphysical, that are emerging from our engagement with such pervasive computational technologies and post-biological systems. Syncretism has traditionally been regarded as an attempt to harmonise and analogise [1] Citing recent examples of practical research outcomes, this paper will cite what Deleuze and Guattari have called deterritorialisation of the human body and its dispersion throughout multiple reality manifestations and how mixed reality data transfer might constitute a reterritorialising effect that creates a syncretic post-biological digital identity for the user [2]. ? 2011 IEEE.",Art; Cross-reality; Dual Reality; Media Art; Metaverse; Performing Arts; Post-humanism,Art; Cross-reality; Dual Reality; Media arts; Metaverse; Performing arts; Post-humanism; Augmented reality; Biological materials; Data transfer; Electronic document identification systems; Virtual reality,Conference Paper,Final,,Scopus,2-s2.0-83755174264
Jaffurs S.E.,26036121200;,SIMphonic Island: Exploring musical identity and learning in virtual space,2011,"Learning, Teaching, and Musical Identity: Voices Across Cultures",,,,295,307,,4,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84895607827&partnerID=40&md5=0508efd463289b145e3bbdf5d46e3b41,"University of Michigan, Flint, United States; Farmington Public School District, MI, United States","Jaffurs, S.E., University of Michigan, Flint, United States, Farmington Public School District, MI, United States","The story above is from my field notes describing a student's experience in an online class that takes place in a virtual setting, SIMPhonic Island, http://simphonicisland.wordpress.com/, located in the Metaverse. The term Metaverse was first introduced in Stephenson's Snow Crash (1992: 24). I define the Metaverse as a virtual embodied world. Usually associated with gaming, this world allows players to access a website and experience a virtual three-dimensional space where they can interact with others. The students in the story were enrolled in an online high school music technology course I taught in the spring term of 2009. Students and I scheduled synchronous meetings, and after logging into the text-based program Second Life on their computers, we were transported to a threedimensional virtual world for multiple users. The students had logged in from their homes and could listen, record, stream music, instant message, and talk via headsets and microphones as they maneuvered their virtual embodied representative, their avatar, on SIMPhonic Island. Students control their avatar's movements to walk, run, and even fly, meeting with other avatars to discuss creating their music, collaborating, and broadcasting. Second Life (SL) was launched in 2003 and is available for any user eighteen years of age or older. SIMPhonic Island is located on the Teen Grid of Second Life. The Teen Grid (TG) is an area in Second Life for any teen thirteen to seventeen years old. There are two types of Teen Grid-sponsored projects, public and private. Public projects are open to anyone age thirteen to seventeen who has created an account on the Teen Grid. These accounts are free. SIMPhonic Island, like many of the other education projects, is a private project. Information about the public Teen Grid can be found at http://teen.secondlife.com/. The course, titled Music in Cyberspace, is offered to high school students in a Midwest school district in the United States. The term cyberspace is ""conceptualized as a net, matrix, Metaverse and universally, as a place constructed out of information"" (Jordan 1999: 26). The course's premier objective is to create a musical identity in a virtual world. The examination of garage musicians working in and out of informal and formal music venues led me to speculate as to how we form musical identities and the importance of venue. Discovering the many resources available to students outside the walls of the school revealed some of the nature of these venues. How the groups interacted with no one in charge and the connections they made between experiences in and out of school were important to their music development. In my study of garage musicians (Jaffurs 2007), the participants credited their parents, school music teachers, and private music teachers as being a part of their success as musicians. Several of their parents, while not actively part of the rehearsals, were former garage musicians themselves; they purchased the equipment and owned the garage (their venue was actually a basement). Hargreaves and Marshall (2003: 263-274) stipulated that the extent of the control and the style and genre of music chosen are necessary for the creation of these contexts. An important characteristic of what could be described as a third arena of learning, or Hargreaves and Marshall's (2003: 266) term, ""third environment,"" is the ""extra learning"" that occurs outside of the formal venue. This extra learning is vital. It is self-motivated learning for learning's sake. Categorizing the differences between informal and formal venues on a continuum led the author to discover where these two may intersect and revealed an opportunity for a unique venue. What are the possibilities that a virtual venue, a place with no walls, offers? What could such a venue offer to music educators and their students? If the third environment, or borrowing from Heath, the ""third learning environment"" (2001: 10-17) is the venue outside of the school where extra learning occurs, then perhaps the virtual venue could be delineated within the third environment. Underpinning the importance of venue for musicians is the idea that many young performers of popular music identify themselves as musicians, not as students learning to become musicians (Green 2001). Popular forms of music play a central role in the lifestyle of most teenagers, and indeed constitute a ""'badge of identity' for many of them"" (Tarrant, North, and Hargreaves 2001: 565-581). Understanding how we perceive musical identity may give us a deeper understanding of the many facets of musicians. Additionally, a course that encourages and fosters the development of a musical identity in a virtual simulation, not school simulation, for ""out of school activities and roles"" (Regelski 2004: 15) may be highly motivating. Many music educators may understand the importance of developing the musical skills and achievements necessary to be a musician but may not have thought about the broader perspective, the musical identity that each student defines for themselves. ? 2011 by Indiana University Press All rights reserved.",,,Book Chapter,Final,,Scopus,2-s2.0-84895607827
[No author name available],[No author id available],"Intelligent Interactive Multimedia Systems and Services - Proceedings of the 4th International Conference on Intelligent Interactive Multimedia Systems and Services, IIMSS 2011",2011,"Smart Innovation, Systems and Technologies",11 SIST,,,,,368,2,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867676579&partnerID=40&md5=6f53a3d1557d8c1a8705c39517afa588,,,The proceedings contain 34 papers. The topics discussed include: visualization tool for scientific gateway; digital text based activity: teaching geometrical entities at the kindergarten; cross format embedding of metadata in images using QR codes; an empirical study for integrating personality characteristics in stereotype-based student modelling in a collaborative learning environment for UML; an efficient parallel architecture for H.264/AVC fractional motion estimation; fast two-stage global motion estimation: a blocks and pixels sampling approach; frame extraction based on displacement amount for automatic comic generation from metaverse museum visit log; knowledge-based authoring tool for tutoring multiple languages; evaluating an affective e-learning system using a fuzzy decision making method; and performance evaluation of adaptive content selection in AEHS.,,,Conference Review,Final,,Scopus,2-s2.0-84867676579
